物料清单数据导出
导出时间: 2026-06-08T14:28:19.966529
总记录数: 72
================================================================================

record_id	物料名称	物料代号	生产商	物料级别	文件名称	质量标准	工艺名称
recvfwyMZh5Yx7	[{'text': '二氯甲烷', 'type': 'text'}]	[{'text': 'L013a', 'type': 'text'}]	[{'text': '西陇科学股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '二氯甲烷(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-L013', 'type': 'text'}]	['合成']
recvfwzSlHAqaU	[{'text': '磷酸氢二钠二水合物', 'type': 'text'}]	[{'text': 'EX003', 'type': 'text'}]	[{'text': 'Kirsch Pharma GmbH', 'type': 'text'}]	[{'text': '药用级', 'type': 'text'}]		[{'text': 'SPC-EX-0003', 'type': 'text'}]	['制剂']
recvfwzT5zbjE0	[{'text': '丙二醇（供注射用）', 'type': 'text'}]	[{'text': 'EX002', 'type': 'text'}]	[{'text': '南京威尔药业集团股份有限公司', 'type': 'text'}]	[{'text': '药用级', 'type': 'text'}]		[{'text': 'SPC-EX-0002', 'type': 'text'}]	['制剂']
recvfwzT5zv2NP	[{'text': '丙二醇（供注射用）', 'type': 'text'}]	[{'text': 'EX002a', 'type': 'text'}]	[{'text': '南京威尔药业集团股份有限公司', 'type': 'text'}]	[{'text': '药用级', 'type': 'text'}]		[{'text': 'SPC-EX-0002', 'type': 'text'}]	['制剂']
recvfwzT5zLAxY	[{'text': '苯酚', 'type': 'text'}]	[{'text': 'EX001', 'type': 'text'}]	[{'text': '英文：Merck KGaA中文：默克股份两合公司', 'type': 'text'}]	[{'text': '药用级', 'type': 'text'}]		[{'text': 'SPC-EX-0001', 'type': 'text'}]	['制剂']
recvfwzT5z0uCg	[{'text': '司美格鲁肽', 'type': 'text'}]	[{'text': 'SM', 'type': 'text'}]	[{'text': '丽珠集团新北江制药股份有限公司', 'type': 'text'}]	[{'text': '药用级', 'type': 'text'}]		[{'text': 'SPC-SM-002', 'type': 'text'}]	['制剂']
recvfwzT5zco2C	[{'text': '盐酸', 'type': 'text'}]	[{'text': 'EX005', 'type': 'text'}]	[{'text': '湖南尔康制药股份有限公司', 'type': 'text'}]	[{'text': '药用级', 'type': 'text'}]		[{'text': 'SPC-EX-0005', 'type': 'text'}]	['制剂']
recvfwzT5z8pDu	[{'text': '氢氧化钠', 'type': 'text'}]	[{'text': 'EX004', 'type': 'text'}]	[{'text': '湖南尔康制药股份有限公司', 'type': 'text'}]	[{'text': '药用级', 'type': 'text'}]		[{'text': 'SPC-EX-0004', 'type': 'text'}]	['制剂']
recvfwzT5zsUao	[{'text': '笔式注射器用硼硅玻璃套筒', 'type': 'text'}]	[{'text': 'PM081', 'type': 'text'}]	[{'text': '肖特玻璃科技（苏州）有限公司', 'type': 'text'}]	[{'text': '药包材', 'type': 'text'}]		[{'text': 'SPC-PM-0081', 'type': 'text'}]	['制剂']
recvfwzT5zbcjT	[{'text': '笔式注射器用溴化丁基橡胶活塞', 'type': 'text'}]	[{'text': ' PM080a', 'type': 'text'}]	[{'text': 'West Pharmaceutical Services Singapore Pte.Ltd.', 'type': 'text'}]	[{'text': '药包材', 'type': 'text'}]		[{'text': 'SPC-PM-0080', 'type': 'text'}]	['制剂']
recvfwzT5zOPaj	[{'text': '笔式注射器用含垫片铝盖', 'type': 'text'}]	[{'text': 'PM079', 'type': 'text'}]	[{'text': 'West Pharmaceutical Services Denmark', 'type': 'text'}]	[{'text': '药包材', 'type': 'text'}]		[{'text': 'SPC-PM-0079', 'type': 'text'}]	['制剂']
recvfwzT5zm3Va	[{'text': '35%二甲硅油NF乳液', 'type': 'text'}]	[{'text': 'L029', 'type': 'text'}]	[{'text': 'DDP Specialty Electronic Materials US 9，LLC', 'type': 'text'}]	[{'text': '辅料', 'type': 'text'}]		[{'text': 'SPC-RM-L029', 'type': 'text'}]	['制剂']
